Type_annonce,Nombre_pieces,Prix,Adresse,Image_url
Location,4,200000,Dakar,https://images.coinafrique.com/thumb_5290678_uploaded_image1_1745192085.jpg
Vente,10,32000000,Pikine,https://images.coinafrique.com/thumb_5313120_uploaded_image1_1746463820.jpg
Vente,8,150000000,Almadies 2,https://images.coinafrique.com/thumb_5312943_uploaded_image1_1746457206.jpg
Vente,8,497000000,Point E,https://images.coinafrique.com/thumb_5312702_uploaded_image1_1746449233.jpg
Vente,5,210000000,Mbour,https://images.coinafrique.com/thumb_5302612_uploaded_image1_1745889625.jpg
Location,8,3000000,Dakar,https://images.coinafrique.com/thumb_5311959_uploaded_image1_1746407650.jpg
Location,6,3000000,Dakar,https://images.coinafrique.com/thumb_5311957_uploaded_image1_1746407460.jpg
Vente,8,393000000,Mbour,https://images.coinafrique.com/thumb_5270620_uploaded_image1_1744053618.jpg
Location,6,1700000,Almadies,https://images.coinafrique.com/thumb_5270425_uploaded_image1_1744047026.jpg
Location,6,700000,Rufisque,https://images.coinafrique.com/thumb_5311326_uploaded_image1_1746374733.jpg
Vente,Non précisé,57000000,Parcelle Assainies,https://images.coinafrique.com/thumb_5310452_uploaded_image1_1746304368.jpg
location,5,Prixsurdemande,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5310205_uploaded_image1_1746288627.jpg
